Entity,Code,Year,"Observation value-Deaths per 1,000 live births-Under-five mortality rate-Both sexes-All wealth quintiles",Population (historical estimates),Continent
Morocco,MAR,2015,2.3603764,34680456,Africa
Mozambique,MOZ,2015,8.402059,26843252,Africa
Myanmar,MMR,2015,5.178597,51483956,Asia
Namibia,NAM,2015,4.6246155,2282709,Africa
Nauru,NRU,2015,3.3300648,11207,Oceania
Nepal,NPL,2015,3.552994,27610328,Asia
Netherlands,NLD,2015,0.4063034,17041110,Europe
New Zealand,NZL,2015,0.5504914,4590591,Oceania
Nicaragua,NIC,2015,1.8784195,6298610,North America
Niger,NER,2015,12.016442,20128132,Africa
Nigeria,NGA,2015,12.641257,183995776,Africa
Niue,NIU,2015,2.9019571,1871,Oceania
North Korea,PRK,2015,2.11,25258012,Asia
North Macedonia,MKD,2015,1.1350324,2107965,Europe
Norway,NOR,2015,0.27160628,5190357,Europe
Oman,OMN,2015,1.1158928,4191784,Asia
Pakistan,PAK,2015,7.617705,210969296,Asia
Palau,PLW,2015,1.9743069,17822,Oceania
Palestine,PSE,2015,1.839107,4484615,Asia
Panama,PAN,2015,1.6930107,3957102,North America
Papua New Guinea,PNG,2015,5.108848,8682172,Oceania
Paraguay,PRY,2015,2.218579,6177954,South America
Peru,PER,2015,1.6548967,30711864,South America
Philippines,PHL,2015,2.9775736,103031360,Asia
Poland,POL,2015,0.48905907,38553148,Europe
Portugal,PRT,2015,0.36505575,10365436,Europe
Qatar,QAT,2015,0.77586255,2414580,Asia
Romania,ROU,2015,0.9217904,19906078,Europe
Russia,RUS,2015,0.824731,144668384,Europe
Rwanda,RWA,2015,4.7737907,11642963,Africa
Saint Kitts and Nevis,KNA,2015,1.6943474,47814,North America
Saint Lucia,LCA,2015,2.1945915,175638,North America
Saint Vincent and the Grenadines,VCT,2015,1.681948,106493,North America
Samoa,WSM,2015,1.8593903,203586,Oceania
San Marino,SMR,2015,0.22167544,33593,Europe
Sao Tome and Principe,STP,2015,2.3275946,201142,Africa
Saudi Arabia,SAU,2015,0.9099486,32749838,Asia
Senegal,SEN,2015,5.1003113,14356191,Africa
Serbia,SRB,2015,0.63087826,7519501,Europe
Seychelles,SYC,2015,1.4535707,99260,Africa
Sierra Leone,SLE,2015,14.097765,7314779,Africa
Singapore,SGP,2015,0.2738592,5650020,Asia
Slovakia,SVK,2015,0.62455816,5424449,Europe
Slovenia,SVN,2015,0.26032295,2080865,Europe
Solomon Islands,SLB,2015,2.2771667,612670,Oceania
Somalia,SOM,2015,13.447408,13763909,Africa
South Africa,ZAF,2015,3.7343517,55876504,Africa
South Korea,KOR,2015,0.3518742,50994396,Asia
South Sudan,SSD,2015,9.8689644,11194300,Africa
Spain,ESP,2015,0.3316104,46431344,Europe
Sri Lanka,LKA,2015,0.8784128,21336692,Asia
Sudan,SDN,2015,6.6048164,38171172,Africa
Suriname,SUR,2015,2.048343,575478,South America
Sweden,SWE,2015,0.28714757,9849344,Europe
Switzerland,CHE,2015,0.42901154,8281735,Europe
Syria,SYR,2015,4.1815098,19205178,Asia
Tajikistan,TJK,2015,3.7419647,8524066,Asia
Tanzania,TZA,2015,5.802063,52542824,Africa
Thailand,THA,2015,1.0790528,70294408,Asia
Togo,TGO,2015,7.592617,7473232,Africa
Tonga,TON,2015,1.2372729,106140,Oceania
Trinidad and Tobago,TTO,2015,1.9643337,1460180,North America
Tunisia,TUN,2015,1.717336,11557779,Africa
Turkey,TUR,2015,1.2951419,79646176,Asia
Turkmenistan,TKM,2015,4.2438816,5766427,Asia
Turks and Caicos Islands,TCA,2015,0.5273534,36556,North America
Tuvalu,TUV,2015,2.6102861,10896,Oceania
Uganda,UGA,2015,5.5975613,37477356,Africa
Ukraine,UKR,2015,0.9448252,44982568,Europe
United Arab Emirates,ARE,2015,0.76063867,8916909,Asia
United Kingdom,GBR,2015,0.44744706,65224368,Europe
United States,USA,2015,0.67921586,324607776,North America
Uruguay,URY,2015,0.8909212,3402820,South America
Uzbekistan,UZB,2015,1.9187551,30949416,Asia
Vanuatu,VUT,2015,2.7298565,276450,Oceania
Venezuela,VEN,2015,1.9142475,30529722,South America
Vietnam,VNM,2015,2.1892395,92191400,Asia
Yemen,YEM,2015,6.0785786,28516552,Asia
Zambia,ZMB,2015,6.822225,16248231,Africa
Zimbabwe,ZWE,2015,6.0471767,14154937,Africa
