Entity,Code,Year,Deaths,Population,Continent,GDP
Libya,LBY,2015,1.328778,6192241,Africa,#N/A
Lithuania,LTU,2015,0.48828835,2963764,Europe,1861.0052
Luxembourg,LUX,2015,0.27748618,569415,Europe,5545.1973
Madagascar,MDG,2015,6.595982,24850912,Africa,76.91251
Malawi,MWI,2015,5.6640434,16938944,Africa,95.53276
Malaysia,MYS,2015,0.8157201,31068834,Asia,946.9838
Maldives,MDV,2015,0.9772988,435590,Asia,1457.2584
Mali,MLI,2015,11.563753,18112910,Africa,83.57169
Malta,MLT,2015,0.6596705,456585,Europe,3373.2385
Marshall Islands,MHL,2015,3.551036,49426,Oceania,513.8619
Mauritania,MRT,2015,4.8942623,3946225,Africa,154.29881
Mauritius,MUS,2015,1.4600353,1293159,Africa,1098.8331
Mexico,MEX,2015,1.6214237,120149896,North America,1047.3535
Micronesia (country),FSM,2015,3.0168753,109477,Oceania,366.97675
Moldova,MDA,2015,1.5782396,3277390,Europe,631.46045
Monaco,MCO,2015,0.35208008,36781,Europe,3729.5642
Mongolia,MNG,2015,1.9427027,2964756,Asia,456.34784
Montenegro,MNE,2015,0.4073842,633969,Europe,1462.4469
Montserrat,MSR,2015,0.642087,5083,North America,#N/A
Morocco,MAR,2015,2.3603764,34680456,Africa,361.25082
Mozambique,MOZ,2015,8.402059,26843252,Africa,86.72979
Myanmar,MMR,2015,5.178597,51483956,Asia,224.8885
Namibia,NAM,2015,4.6246155,2282709,Africa,1061.3206
Nauru,NRU,2015,3.3300648,11207,Oceania,1803.0343
Nepal,NPL,2015,3.552994,27610328,Asia,163.77803
Netherlands,NLD,2015,0.4063034,17041110,Europe,5203.804
New Zealand,NZL,2015,0.5504914,4590591,Oceania,3475.5354
Nicaragua,NIC,2015,1.8784195,6298610,North America,421.55222
Niger,NER,2015,12.016442,20128132,Africa,61.241283
Nigeria,NGA,2015,12.641257,183995776,Africa,194.36855
Niue,NIU,2015,2.9019571,1871,Oceania,#N/A
North Korea,PRK,2015,2.11,25258012,Asia,#N/A
North Macedonia,MKD,2015,1.1350324,2107965,Europe,876.97595
Norway,NOR,2015,0.27160628,5190357,Europe,6142.4375
Oman,OMN,2015,1.1158928,4191784,Asia,1349.4435
Pakistan,PAK,2015,7.617705,210969296,Asia,117.508095
Palau,PLW,2015,1.9743069,17822,Oceania,2028.0365
Palestine,PSE,2015,1.839107,4484615,Asia,#N/A
Panama,PAN,2015,1.6930107,3957102,North America,1724.0033
Papua New Guinea,PNG,2015,5.108848,8682172,Oceania,72.21133
Paraguay,PRY,2015,2.218579,6177954,South America,768.6389
Peru,PER,2015,1.6548967,30711864,South America,580.9764
Philippines,PHL,2015,2.9775736,103031360,Asia,280.16
Poland,POL,2015,0.48905907,38553148,Europe,1716.899
Portugal,PRT,2015,0.36505575,10365436,Europe,2758.8845
Qatar,QAT,2015,0.77586255,2414580,Asia,2789.9478
Romania,ROU,2015,0.9217904,19906078,Europe,1065.9272
Russia,RUS,2015,0.824731,144668384,Europe,1288.0707
Rwanda,RWA,2015,4.7737907,11642963,Africa,120.08472
Saint Kitts and Nevis,KNA,2015,1.6943474,47814,North America,1271.2233
Saint Lucia,LCA,2015,2.1945915,175638,North America,620.80396
Saint Vincent and the Grenadines,VCT,2015,1.681948,106493,North America,475.56168
Samoa,WSM,2015,1.8593903,203586,Oceania,337.28143
San Marino,SMR,2015,0.22167544,33593,Europe,3467.578
Sao Tome and Principe,STP,2015,2.3275946,201142,Africa,204.94856
Saudi Arabia,SAU,2015,0.9099486,32749838,Asia,2915.8618
Senegal,SEN,2015,5.1003113,14356191,Africa,130.22137
Serbia,SRB,2015,0.63087826,7519501,Europe,1312.1549
Seychelles,SYC,2015,1.4535707,99260,Africa,1086.4508
Sierra Leone,SLE,2015,14.097765,7314779,Africa,326.45438
Singapore,SGP,2015,0.2738592,5650020,Asia,3598.9907
Slovakia,SVK,2015,0.62455816,5424449,Europe,2033.2246
Slovenia,SVN,2015,0.26032295,2080865,Europe,2688.6975
Solomon Islands,SLB,2015,2.2771667,612670,Oceania,113.60162
Somalia,SOM,2015,13.447408,13763909,Africa,#N/A
South Africa,ZAF,2015,3.7343517,55876504,Africa,1103.3734
South Korea,KOR,2015,0.3518742,50994396,Asia,2531.058
South Sudan,SSD,2015,9.8689644,11194300,Africa,#N/A
Spain,ESP,2015,0.3316104,46431344,Europe,3184.9949
Sri Lanka,LKA,2015,0.8784128,21336692,Asia,450.90964
Sudan,SDN,2015,6.6048164,38171172,Africa,322.5486
Suriname,SUR,2015,2.048343,575478,South America,999.574
Sweden,SWE,2015,0.28714757,9849344,Europe,5333.4023
Switzerland,CHE,2015,0.42901154,8281735,Europe,7306.933
Syria,SYR,2015,4.1815098,19205178,Asia,#N/A
Tajikistan,TJK,2015,3.7419647,8524066,Asia,206.61566
Tanzania,TZA,2015,5.802063,52542824,Africa,83.21102
Thailand,THA,2015,1.0790528,70294408,Asia,580.34705
Togo,TGO,2015,7.592617,7473232,Africa,93.44444
Tonga,TON,2015,1.2372729,106140,Oceania,270.64816
Trinidad and Tobago,TTO,2015,1.9643337,1460180,North America,1665.3807
Tunisia,TUN,2015,1.717336,11557779,Africa,675.97504
Turkey,TUR,2015,1.2951419,79646176,Asia,1060.2424
Turkmenistan,TKM,2015,4.2438816,5766427,Asia,862.2256
Turks and Caicos Islands,TCA,2015,0.5273534,36556,North America,#N/A
Tuvalu,TUV,2015,2.6102861,10896,Oceania,600.89746
Uganda,UGA,2015,5.5975613,37477356,Africa,113.361916
Ukraine,UKR,2015,0.9448252,44982568,Europe,753.8464
United Arab Emirates,ARE,2015,0.76063867,8916909,Asia,2325.8171
United Kingdom,GBR,2015,0.44744706,65224368,Europe,4231.58
United States,USA,2015,0.67921586,324607776,North America,9392.066
Uruguay,URY,2015,0.8909212,3402820,South America,1821.2423
Uzbekistan,UZB,2015,1.9187551,30949416,Asia,320.14917
Vanuatu,VUT,2015,2.7298565,276450,Oceania,122.69769
Venezuela,VEN,2015,1.9142475,30529722,South America,744.7507
Vietnam,VNM,2015,2.1892395,92191400,Asia,344.95898
Yemen,YEM,2015,6.0785786,28516552,Asia,110.01008
Zambia,ZMB,2015,6.822225,16248231,Africa,152.14185
Zimbabwe,ZWE,2015,6.0471767,14154937,Africa,199.67766
